"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v",
15,34,237,"0F",22,"ED",,0,,,FALSE,,,"mov",2,"cr5","ebp",,,,,"GP","GP","GP",
15,34,238,"0F",22,"EE",,0,,,FALSE,,,"mov",2,"cr5","esi",,,,,"GP","GP","GP",
15,34,239,"0F",22,"EF",,0,,,FALSE,,,"mov",2,"cr5","edi",,,,,"GP","GP","GP",
15,34,240,"0F",22,"F0",,0,,,FALSE,,,"mov",2,"cr6","eax",,,,,"GP","GP","GP",
15,34,241,"0F",22,"F1",,0,,,FALSE,,,"mov",2,"cr6","ecx",,,,,"GP","GP","GP",
15,34,242,"0F",22,"F2",,0,,,FALSE,,,"mov",2,"cr6","edx",,,,,"GP","GP","GP",
15,34,243,"0F",22,"F3",,0,,,FALSE,,,"mov",2,"cr6","ebx",,,,,"GP","GP","GP",
15,34,244,"0F",22,"F4",,0,,,FALSE,,,"mov",2,"cr6","esp",,,,,"GP","GP","GP",
15,34,245,"0F",22,"F5",,0,,,FALSE,,,"mov",2,"cr6","ebp",,,,,"GP","GP","GP",
15,34,246,"0F",22,"F6",,0,,,FALSE,,,"mov",2,"cr6","esi",,,,,"GP","GP","GP",
15,34,247,"0F",22,"F7",,0,,,FALSE,,,"mov",2,"cr6","edi",,,,,"GP","GP","GP",
15,34,248,"0F",22,"F8",,0,,,FALSE,,,"mov",2,"cr7","eax",,,,,"GP","GP","GP",
15,34,249,"0F",22,"F9",,0,,,FALSE,,,"mov",2,"cr7","ecx",,,,,"GP","GP","GP",
15,34,250,"0F",22,"FA",,0,,,FALSE,,,"mov",2,"cr7","edx",,,,,"GP","GP","GP",
15,34,251,"0F",22,"FB",,0,,,FALSE,,,"mov",2,"cr7","ebx",,,,,"GP","GP","GP",
15,34,252,"0F",22,"FC",,0,,,FALSE,,,"mov",2,"cr7","esp",,,,,"GP","GP","GP",
15,34,253,"0F",22,"FD",,0,,,FALSE,,,"mov",2,"cr7","ebp",,,,,"GP","GP","GP",
15,34,254,"0F",22,"FE",,0,,,FALSE,,,"mov",2,"cr7","esi",,,,,"GP","GP","GP",
15,34,255,"0F",22,"FF",,0,,,FALSE,,,"mov",2,"cr7","edi",,,,,"GP","GP","GP",
15,35,192,"0F",23,"C0",,0,,,FALSE,,,"mov",2,"dr0","eax",,,,,"GP,DB,UD","DB,UD","GP",
15,35,193,"0F",23,"C1",,0,,,FALSE,,,"mov",2,"dr0","ecx",,,,,"GP,DB,UD","DB,UD","GP",
